2022-03-03 19:33:55,460:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:40:22,747:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:40:36,571:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:40:55,719:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:42:53,133:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:46:38,965:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:48:20,574:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:51:34,647:INFO:CLIENT STARTED at ('10.64.37.35', 2345)
2022-03-03 19:51:34,658:INFO:Message 1 sent at 1646317294658
2022-03-03 19:51:34,660:INFO:Message 2 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 3 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 4 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 5 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 6 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 7 sent at 1646317294660
2022-03-03 19:51:34,660:INFO:Message 8 sent at 1646317294660
2022-03-03 19:51:34,661:INFO:Message 9 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 10 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 11 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 12 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 13 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 14 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 15 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 16 sent at 1646317294661
2022-03-03 19:51:34,661:INFO:Message 17 sent at 1646317294661
2022-03-03 19:51:34,662:INFO:Message 18 sent at 1646317294661
2022-03-03 19:51:34,662:INFO:Message 19 sent at 1646317294662
2022-03-03 19:51:34,662:INFO:Message 20 sent at 1646317294662
2022-03-03 19:51:34,662:INFO:Message 21 sent at 1646317294662
2022-03-03 19:51:34,662:INFO:Message 22 sent at 1646317294662
2022-03-03 19:51:34,663:INFO:Message 23 sent at 1646317294663
2022-03-03 19:51:34,663:INFO:Message 24 sent at 1646317294663
2022-03-03 19:51:34,663:INFO:Message 25 sent at 1646317294663
2022-03-03 19:51:34,663:INFO:Message 26 sent at 1646317294663
2022-03-03 19:51:34,663:INFO:Message 27 sent at 1646317294663
2022-03-03 19:51:34,663:INFO:Message 28 sent at 1646317294663
2022-03-03 19:51:34,665:INFO:Message 29 sent at 1646317294665
2022-03-03 19:51:34,665:INFO:Message 30 sent at 1646317294665
2022-03-03 19:51:34,665:INFO:Message 31 sent at 1646317294665
2022-03-03 19:51:34,665:INFO:Message 32 sent at 1646317294665
2022-03-03 19:51:34,666:INFO:Message 33 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 34 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 35 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 36 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 37 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 38 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 39 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 40 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 41 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 42 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 43 sent at 1646317294666
2022-03-03 19:51:34,666:INFO:Message 44 sent at 1646317294666
2022-03-03 19:51:34,668:INFO:Message 45 sent at 1646317294668
2022-03-03 19:51:34,669:INFO:Message 46 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 47 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 48 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 49 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 50 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 51 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 52 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 53 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 54 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 55 sent at 1646317294669
2022-03-03 19:51:34,669:INFO:Message 56 sent at 1646317294669
2022-03-03 19:51:34,670:INFO:Message 57 sent at 1646317294669
2022-03-03 19:51:34,670:INFO:Message 58 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 59 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 60 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 61 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 62 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 63 sent at 1646317294670
2022-03-03 19:51:34,670:INFO:Message 64 sent at 1646317294670
2022-03-03 19:51:34,672:INFO:Message 65 sent at 1646317294672
2022-03-03 19:51:34,672:INFO:Message 66 sent at 1646317294672
2022-03-03 19:51:34,672:INFO:Message 67 sent at 1646317294672
2022-03-03 19:51:34,672:INFO:Message 68 sent at 1646317294672
